sorted arrays: 
|n (size of array) | comparisons | moves | comparisons/n | moves/n | 
|    1000          | 999 | 0 | 0.999 | 0.0 |
|    1000          | 999 | 0 | 0.999 | 0.0 |
|    1000          | 999 | 0 | 0.999 | 0.0 |
|    1000          | 999 | 0 | 0.999 | 0.0 |
|    1000          | 999 | 0 | 0.999 | 0.0 |
|    1000          | 999 | 0 | 0.999 | 0.0 |
|    1000          | 999 | 0 | 0.999 | 0.0 |
|    1000          | 999 | 0 | 0.999 | 0.0 |
|    1000          | 999 | 0 | 0.999 | 0.0 |
|    1000          | 999 | 0 | 0.999 | 0.0 |
|    2000          | 1999 | 0 | 0.9995 | 0.0 |
|    2000          | 1999 | 0 | 0.9995 | 0.0 |
|    2000          | 1999 | 0 | 0.9995 | 0.0 |
|    2000          | 1999 | 0 | 0.9995 | 0.0 |
|    2000          | 1999 | 0 | 0.9995 | 0.0 |
|    2000          | 1999 | 0 | 0.9995 | 0.0 |
|    2000          | 1999 | 0 | 0.9995 | 0.0 |
|    2000          | 1999 | 0 | 0.9995 | 0.0 |
|    2000          | 1999 | 0 | 0.9995 | 0.0 |
|    2000          | 1999 | 0 | 0.9995 | 0.0 |
|    4000          | 3999 | 0 | 0.99975 | 0.0 |
|    4000          | 3999 | 0 | 0.99975 | 0.0 |
|    4000          | 3999 | 0 | 0.99975 | 0.0 |
|    4000          | 3999 | 0 | 0.99975 | 0.0 |
|    4000          | 3999 | 0 | 0.99975 | 0.0 |
|    4000          | 3999 | 0 | 0.99975 | 0.0 |
|    4000          | 3999 | 0 | 0.99975 | 0.0 |
|    4000          | 3999 | 0 | 0.99975 | 0.0 |
|    4000          | 3999 | 0 | 0.99975 | 0.0 |
|    4000          | 3999 | 0 | 0.99975 | 0.0 |
|    8000          | 7999 | 0 | 0.999875 | 0.0 |
|    8000          | 7999 | 0 | 0.999875 | 0.0 |
|    8000          | 7999 | 0 | 0.999875 | 0.0 |
|    8000          | 7999 | 0 | 0.999875 | 0.0 |
|    8000          | 7999 | 0 | 0.999875 | 0.0 |
|    8000          | 7999 | 0 | 0.999875 | 0.0 |
|    8000          | 7999 | 0 | 0.999875 | 0.0 |
|    8000          | 7999 | 0 | 0.999875 | 0.0 |
|    8000          | 7999 | 0 | 0.999875 | 0.0 |
|    8000          | 7999 | 0 | 0.999875 | 0.0 |
|   16000          | 15999 | 0 | 0.9999375 | 0.0 |
|   16000          | 15999 | 0 | 0.9999375 | 0.0 |
|   16000          | 15999 | 0 | 0.9999375 | 0.0 |
|   16000          | 15999 | 0 | 0.9999375 | 0.0 |
|   16000          | 15999 | 0 | 0.9999375 | 0.0 |
|   16000          | 15999 | 0 | 0.9999375 | 0.0 |
|   16000          | 15999 | 0 | 0.9999375 | 0.0 |
|   16000          | 15999 | 0 | 0.9999375 | 0.0 |
|   16000          | 15999 | 0 | 0.9999375 | 0.0 |
|   16000          | 15999 | 0 | 0.9999375 | 0.0 |
As the table above shows, the algorithm is O(n) in comparisons and O(1) in moves. 
randomly sorted arrays: 
|n (size of array) | comparisons | moves | comparisons/n^2 | moves/n^2 | 
|    1000          | 740236 | 725319 | 0.740236 | 0.725319 |
|    1000          | 751553 | 757395 | 0.751553 | 0.757395 |
|    1000          | 758274 | 779058 | 0.758274 | 0.779058 |
|    1000          | 752344 | 758772 | 0.752344 | 0.758772 |
|    1000          | 741896 | 731670 | 0.741896 | 0.73167 |
|    1000          | 751288 | 756069 | 0.751288 | 0.756069 |
|    1000          | 747526 | 749223 | 0.747526 | 0.749223 |
|    1000          | 743502 | 735267 | 0.743502 | 0.735267 |
|    1000          | 754641 | 769566 | 0.754641 | 0.769566 |
|    1000          | 753519 | 762720 | 0.753519 | 0.76272 |
|    2000          | 2995357 | 2996760 | 0.74883926 | 0.74919 |
|    2000          | 2976392 | 2932959 | 0.744098 | 0.73323977 |
